PERIOD;SCENARIO;ENTITY;CENTER;DIVISION_CODE;AREA_CODE;FUNCTION_CODE;ORGANIZATION_CHART;CENTRALIZED_SOURCE_CENTER;FUNCTION_CODE_CENTRALIZED;ORGANIZATION_CHART_CENTRALIZED;OWN_SOURCE_CENTER;FUNCTION_CODE_OWN_COST;ORGANIZATION_CHART_OWN_COST;TAXONOMY_CODE;TAXONOMY_CORP;SPENT_TYPE;BUSINESS_AREA;GEOGRAPHY_CODE;GEOGRAPHY_CORP;COMPANY_CODE;PROJECT_CODE;LOCAL_CURRENCY_AMOUNT;AUDIT_CODE;AUDIT_DESCRIPTION_ES;AUDIT_DESCRIPTION_EN;EUROS_AMOUNT;HEADCOUNT;SETTLE_CODE;AUDIT_CORP
202506;C0401;9942023;0000;;;F00020;O0000748;0000;F00063;O99999;0000;F00063;O99999;D0202020;D0202020;01;AN02020100;42023;42023;0;Pr_xxx;-12005,105;A15;Ajuste Internegocios ASINT;Interbusiness Adjust;-12005,105;0;103676;01_DZR
202506;C0401;9942023;0000;;;F00047;O0000748;0000;F00063;O99999;0000;F00063;O99999;D0202020;D0202020;01;AN02020100;42023;42023;0;Pr_xxx;-30,955;A15;Ajuste Internegocios ASINT;Interbusiness Adjust;-30,955;0;103676;01_DZR
202506;C0401;9942023;0000;;;F00050;O0000748;0000;F00063;O99999;0000;F00063;O99999;D0202020;D0202020;01;AN02020100;42023;42023;0;Pr_xxx;-1030,246;A15;Ajuste Internegocios ASINT;Interbusiness Adjust;-1030,246;0;103679;01_DZR
202506;C0401;9942023;0000;;;F00020;O0000748;0000;F00063;O99999;0000;F00063;O99999;D0202020;D0202020;01;AN02020100;42023;42023;0;Pr_xxx;-10,683;A15;Ajuste Internegocios ASINT;Interbusiness Adjust;-10,683;0;102318;01_DZR
202506;C0401;9942023;0000;;;F00020;O0000748;0000;F00063;O99999;0000;F00063;O99999;D0202020;D0202020;01;AN02020100;42023;42023;0;Pr_xxx;-7398,354;A15;Ajuste Internegocios ASINT;Interbusiness Adjust;-7398,354;0;102451;01_DZR
202506;C0401;9942023;0000;;;F00080;O0000748;0000;F00063;O99999;0000;F00063;O99999;D0202020;D0202020;01;AN02020100;42023;42023;0;Pr_xxx;-4451,611;A15;Ajuste Internegocios ASINT;Interbusiness Adjust;-4451,611;0;103680;01_DZR
202506;C0401;9942023;0000;;;F00020;O0000748;0000;F00063;O99999;0000;F00063;O99999;D0202020;D0202020;01;AN02020200;42023;42023;0;Pr_xxx;971211,602;A15;Ajuste Internegocios ASINT;Interbusiness Adjust;971211,602;0;102983;01_DZN
202506;C0401;9942023;0000;;;F00020;O0000748;0000;F00063;O99999;0000;F00063;O99999;D0202020;D0202020;01;AN02020200;42023;42023;0;Pr_xxx;-5278,338;A15;Ajuste Internegocios ASINT;Interbusiness Adjust;-5278,338;0;102451;01_DZR
202506;C0401;9942023;0000;;;F00020;O0000748;0000;F00063;O99999;0000;F00063;O99999;D0202020;D0202020;01;AN02020200;42023;42023;0;Pr_xxx;-9818,123;A15;Ajuste Internegocios ASINT;Interbusiness Adjust;-9818,123;0;103552;01_DZR
202506;C0401;9942023;0000;;;F00020;O0000748;0000;F00063;O99999;0000;F00063;O99999;D0202020;D0202020;01;AN02020200;42023;42023;0;Pr_xxx;-25596,811;A15;Ajuste Internegocios ASINT;Interbusiness Adjust;-25596,811;0;102845;01_DZR
